time,seconds_elapsed,z,y,x
1714858335808870000,0.149869873046875,-0.048203181475400925,0.008388951420783997,0.062317922711372375
1714858335818819300,0.1598193359375,-0.02583264373242855,-0.08002793043851852,0.04314317926764488
1714858335828768800,0.169768798828125,-0.0023968431632965803,-0.13009531795978546,0.059122130274772644
1714858335838718200,0.17971826171875,0.008255792781710625,-0.12476900219917297,0.10705899447202682
1714858335848667600,0.189667724609375,-0.0034621069207787514,-0.07044056057929993,0.16245271265506744
1714858335858617000,0.1996171875,-0.026897907257080078,0.010519478470087051,0.18695376813411713
1714858335868566300,0.209566162109375,-0.05779055133461952,0.08402267098426819,0.17204007506370544
1714858335878515700,0.219515625,-0.09400951862335205,0.11598058044910431,0.12836426496505737
1714858335888465200,0.229465087890625,-0.12277163565158844,0.10106688737869263,0.07616634666919708
1714858335898414600,0.23941455078125,-0.13768532872200012,0.05632581561803818,0.011185267940163612
1714858335908364000,0.249364013671875,-0.1344895362854004,-0.0022636852227151394,-0.058056868612766266
1714858335918313500,0.2593134765625,-0.10998847335577011,-0.07363634556531906,-0.12410321086645126
1714858335928263000,0.269262939453125,-0.08974846452474594,-0.15353111922740936,-0.17736639082431793
1714858335938212400,0.27921240234375,-0.08016108721494675,-0.2174469381570816,-0.20825904607772827
1714858335948161800,0.289161865234375,-0.06950845569372177,-0.24940484762191772,-0.2253032624721527
1714858335958111200,0.299111328125,-0.05033370852470398,-0.2749711871147156,-0.21358536183834076
1714858335968060700,0.309060791015625,-0.03755054250359535,-0.30053749680519104,-0.19654114544391632
1714858335978010000,0.319010009765625,-0.0588558167219162,-0.32823434472084045,-0.17949692904949188
1714858335987959600,0.32895947265625,-0.09507478028535843,-0.31332066655158997,-0.18908429145812988
1714858335997909000,0.338908935546875,-0.10040109604597092,-0.24194800853729248,-0.23276010155677795
1714858336007858400,0.3488583984375,-0.06950845569372177,-0.15779218077659607,-0.2828274965286255
1714858336017808000,0.358807861328125,-0.023702116683125496,-0.12689952552318573,-0.3020022511482239
1714858336027757300,0.36875732421875,0.04234423115849495,-0.10133320093154907,-0.3094590902328491
1714858336037706800,0.378706787109375,0.12117373943328857,-0.0672447681427002,-0.31798118352890015
1714858336047656200,0.38865625,0.18722008168697357,-0.020373167470097542,-0.3147853910923004
1714858336057605600,0.398605712890625,0.22450430691242218,0.07656582444906235,-0.30839383602142334
1714858336067554800,0.408554931640625,0.2234390527009964,0.21931114792823792,-0.3094590902328491
1714858336077504300,0.418504150390625,0.19254639744758606,0.3247722387313843,-0.30306750535964966
1714858336087454000,0.428453857421875,0.13076111674308777,0.2853575050830841,-0.2966759204864502
1714858336097403400,0.4384033203125,0.09880319982767105,0.17563533782958984,-0.33715593814849854
1714858336107352800,0.448352783203125,0.09454214572906494,0.0648479238152504,-0.41598546504974365
1714858336117302300,0.45830224609375,0.11478215456008911,-0.05020054802298546,-0.4841623306274414
1714858336127251700,0.468251708984375,0.17337165772914886,-0.19614167511463165,-0.502271831035614
1714858336137201200,0.478201171875,0.25326642394065857,-0.28668907284736633,-0.456465482711792
1714858336147150600,0.488150634765625,0.31505173444747925,-0.22383852303028107,-0.335025429725647
1714858336157100300,0.498100341796875,0.36298859119415283,-0.0342215932905674,-0.13795164227485657
1714858336167049700,0.5080498046875,0.393881231546402,0.2012016773223877,0.10492847114801407
1714858336176999200,0.517999267578125,0.39920756220817566,0.45686495304107666,0.3573959469795227
1714858336186948600,0.527948486328125,0.44181808829307556,0.7807050943374634,0.5416865348815918
1714858336196898000,0.53789794921875,0.5163865685462952,1.075783133506775,0.6034718751907349
1714858336206847500,0.547847412109375,0.5579318404197693,1.2046799659729004,0.5502086877822876
1714858336216797200,0.557797119140625,0.517451822757721,1.1705915927886963,0.4287686049938202
1714858336226746600,0.56774658203125,0.391750693321228,0.8968188166618347,0.3659180700778961
1714858336236696000,0.577696044921875,0.23622220754623413,0.4930838942527771,0.36059173941612244
1714858336246645500,0.5876455078125,0.08921582996845245,0.195875346660614,0.34035173058509827
1714858336256595000,0.597594970703125,-0.05459476262331009,0.08295740932226181,0.2860232889652252
1714858336266544400,0.60754443359375,-0.20266640186309814,0.16711322963237762,0.23595589399337769
1714858336276493800,0.617493896484375,-0.3358243703842163,0.3599259555339813,0.1933453530073166
1714858336286443500,0.627443603515625,-0.3784348964691162,0.5591302514076233,0.11664637178182602
1714858336296393000,0.63739306640625,-0.3177148699760437,0.7519429922103882,-0.011185267940163612
1714858336306342400,0.64734228515625,-0.21758009493350983,0.8233156204223633,-0.12303794920444489
1714858336316291800,0.657291748046875,-0.13129374384880066,0.8084019422531128,-0.19014956057071686
1714858336326241300,0.6672412109375,-0.10146636515855789,0.7412903308868408,-0.21038956940174103
1714858336336190700,0.677190673828125,-0.16964323818683624,0.6986798048019409,-0.22423799335956573
1714858336346140400,0.687140380859375,-0.33902016282081604,0.8893619775772095,-0.3339601457118988
1714858336356089900,0.69708984375,-0.4434159994125366,1.3261200189590454,-0.586427628993988
1714858336366039300,0.707039306640625,-0.39121806621551514,1.9791266918182373,-1.0104025602340698
1714858336375988700,0.71698876953125,-0.28149592876434326,2.2699437141418457,-1.2799142599105835
1714858336385938200,0.726938232421875,-0.11744531989097595,2.4648869037628174,-1.4269206523895264
1714858336395887600,0.7368876953125,0.06897582113742828,2.674743890762329,-1.5856449604034424
1714858336405837000,0.746837158203125,0.18189376592636108,3.0241503715515137,-1.847699761390686
1714858336415786800,0.756786865234375,0.1765674501657486,3.405514717102051,-2.173670530319214
