time,seconds_elapsed,z,y,x
1714858316624300500,0.202300537109375,-0.07855701446533203,-0.15949249267578125,-0.16446131467819214
1714858316634254300,0.21225439453125,-0.09371757507324219,-0.1296687126159668,-0.15361249446868896
1714858316644208400,0.22220849609375,-0.4031238555908203,-0.11243486404418945,-0.16873037815093994
1714858316654163000,0.232162841796875,-0.8619089126586914,-0.12865161895751953,-0.25554680824279785
1714858316664117500,0.242117431640625,-1.3601770401000977,-0.17897701263427734,-0.3688488006591797
1714858316674069000,0.252069091796875,-1.7239103317260742,-0.1929025650024414,-0.5687674283981323
1714858316684018400,0.262018310546875,-1.7814617156982422,-0.1877422332763672,-0.6968588829040527
1714858316693968000,0.2719677734375,-1.3835201263427734,-0.1424875259399414,-0.5738859176635742
1714858316703917300,0.281917236328125,-0.5226621627807617,-0.1311626434326172,-0.4473203420639038
1714858316713866800,0.29186669921875,0.21542930603027344,-0.1999821662902832,-0.35323524475097656
1714858316723816000,0.30181591796875,0.3712167739868164,-0.2828202247619629,-0.24403071403503418
1714858316733765400,0.311765380859375,0.15032482147216797,-0.23800945281982422,-0.08837926387786865
1714858316743714800,0.32171484375,-0.1268167495727539,-0.10922479629516602,-0.07432889938354492
1714858316753664300,0.331664306640625,-0.427947998046875,-0.024872779846191406,-0.12061262130737305
1714858316763613400,0.341613525390625,-0.7361021041870117,-0.047636985778808594,-0.21184790134429932
1714858316773563000,0.35156298828125,-0.8974084854125977,-0.0825948715209961,-0.2562599182128906
1714858316783512300,0.36151220703125,-0.9234237670898438,-0.10530328750610352,-0.28215599060058594
1714858316793461800,0.371461669921875,-0.8187732696533203,-0.10818099975585938,-0.3330000638961792
1714858316803411000,0.381410888671875,-0.5038681030273438,-0.025291919708251953,-0.31434929370880127
1714858316813360400,0.3913603515625,-0.11322593688964844,0.10977458953857422,-0.18301653861999512
1714858316823309800,0.401309814453125,0.17290782928466797,0.15461397171020508,-0.02804875373840332
1714858316833259300,0.41125927734375,0.3040323257446289,0.14440298080444336,0.042255401611328125
1714858316843208400,0.42120849609375,0.16922760009765625,0.05914115905761719,0.0033583641052246094
1714858316853158000,0.431157958984375,-0.07126140594482422,0.07867240905761719,0.08901405334472656
1714858316863107300,0.441107421875,-0.04363059997558594,0.23572874069213867,0.18318915367126465
1714858316873056800,0.451056884765625,0.12874698638916016,0.2482891082763672,0.1325777769088745
1714858316883006000,0.461005859375,0.2337017059326172,0.06150960922241211,-0.0326688289642334
1714858316892955400,0.470955322265625,0.21823883056640625,-0.11157798767089844,-0.1591789722442627
1714858316902904800,0.48090478515625,0.047850608825683594,-0.14414310455322266,-0.21320641040802002
1714858316912854300,0.490854248046875,-0.10758781433105469,-0.14700841903686523,-0.29295992851257324
1714858316922803500,0.500803466796875,-0.06834793090820312,-0.09711503982543945,-0.3149535655975342
1714858316932753000,0.5107529296875,-0.0776052474975586,-0.07740640640258789,-0.2178356647491455
1714858316942702300,0.520702392578125,-0.16692638397216797,-0.12368106842041016,-0.13184607028961182
1714858316952651800,0.53065185546875,-0.16191768646240234,-0.05155181884765625,0.016716599464416504
1714858316962601000,0.54060107421875,-0.13067626953125,0.02014636993408203,0.09463739395141602
1714858316972550400,0.55055029296875,-0.13856983184814453,-0.07351303100585938,0.04416918754577637
1714858316982499800,0.560499755859375,-0.2867765426635742,-0.2938566207885742,-0.09972620010375977
1714858316992449300,0.57044921875,-0.540247917175293,-0.4187657833099365,-0.304925799369812
1714858317002398700,0.580398681640625,-0.65972900390625,-0.3833639621734619,-0.43393146991729736
1714858317012348400,0.590348388671875,-0.7941122055053711,-0.32201337814331055,-0.37916100025177
1714858317022297900,0.6002978515625,-0.7179098129272461,-0.1659078598022461,-0.10453307628631592
1714858317032247300,0.610247314453125,-0.5186700820922852,-0.03155660629272461,-0.03588676452636719
1714858317042196700,0.62019677734375,-0.352142333984375,-0.02265167236328125,-0.05428338050842285
